Sensō-ji
Shibuya Crossing
Ghibli Museum
Tokyo National Museum
Tokyo Sky Tree
Intermediateque
Hara Museum
Hama-rikyū Onshi-teien
Tsukiji Market
Imperial Palace
Ō-Edo Onsen Monogatari (Ō-Edo Onsen Story)
Daien-Ji (Daien Temple)
Zōjō-ji
Kichijōji
Tokyo Stock Exchange
Imperial Palace East Garden
Tokyo Opera City
Akihabara Electric Town
Tokyo Station
National Diet
Shimo-Kitazawa
Meguro Fudōson
Nogi-jinja
Hie-jinja
Fukagawa Fudō-dō
Tokyo Midtown
Tobacco &amp; Salt Museum
Ikebukuro
Sompo Japan Museum of Art
Yasukuni-jinja
Shinjuku-Gyōen (Shinjuku Park)
Meguro Wedding Hall (Meguro Gajoen)
Meiji-jingū
Meguro Museum of Art, Tokyo
Aoyama Rei-en
Tod's Building
Rikugi-en
Mori Art Museum
MISC
Kōenji
Tokyo Tower
Japanese Sword Museum
Namco Namjatown
Origami Kaikan
Nikolai Cathedral
Sengaku-ji
Museum of Maritime Science (Fune No Kagaku-Kan)
Koishikawa Kōrakuen
Seafood Intermediate Wholesalers' Area
Dembō-In
Yoyogi-kōen
Bashō Museum (Bashō Kinenkan)
Kagurazaka
Toranomon Hills
Jiyūgaoka Neighbourhood
Nakano
Tsukiji Outer Market
Japan Folk Crafts Museum
Yūshū-kan
Roppongi Hills
Meguro Parasitological Museum
Kabukichō
Inokashira-kōen
Chinzan-sō
Daikanyama
Hachikō Statue
Ueno-kōen
Naka-Meguro
Advertising Museum Tokyo
Buddhist Temple
Kiyosumi-teien
National Museum of Emerging Science &amp; Innovation (Miraikan)
Tomioka Hachiman-gū
Metro Museum
Suginami Animation Museum
Tokyo International Forum
Pasona
Museum of Contemporary Art, Tokyo (MOT)
Nezu Museum
Musée Tomo
Kantō Earthquake Memorial Museum
Kanda Myōjin (Kanda Shrine)
Yushima Seidō (Yushima Shrine)
Dior Building
NTT Intercommunication Centre
National Art Center Tokyo
Amazake Yokochō
Edo-Tokyo Open Air Architecture Museum
Hotel New Ōtani
Ueno Tōshō-gū
Bridgestone Museum of Art
Pentax Square
Takeshita-Dōri (Takeshita Street)
Ukiyo-e Ōta Memorial Museum of Art
Meiji-Jingū Gyōen
Mitsui Memorial Museum
National Film Centre
Odaiba Kaihin-kōen
Awashima-dō
Nakagin Capsule Tower
Akihabara Radio Center
Nihombashi (Nihonbashi)
Hara Museum of Contemporary Art
Edo-Tokyo Museum
Watari Museum of Contemporary Art
National Science Museum
Tokyo Metropolitan Teien Art Museum
NADiff a/p/a/r/t
General Nogi’s Residence
Tokyo Metropolitan Museum of Photography
Harmonica-yokochō
Hōzō-mon
Kitanomaru-kōen (Kitanomaru Park)
Diver City Tokyo Plaza
Mitsubishi Ichigōkan Museum
Yamatane Museum of Art
Crafts Gallery
Shinjuku-gyoen
Tsukiji Hongwan-ji
Tokyo Dome City Attractions
Chingo-dō
Benten-dō
Ikebukuro Earthquake Hall
Shibuya Center-gai
Myth of Tomorrow
Sōgetsu Kaikan
Science Museum, Tokyo
Golden Gai
Tokyo Metropolitan Government Offices
Fujifilm Square
3331 Arts Chiyoda
Nakano Broadway
Suntory Museum of Art
Kite Museum
Ōkura Museum of Art
21_21 Design Sight
Tokyo City View
RiSūPia
Kaminari-mon
Happō-en
Yanaka Ginza
Asakusa-jinja
Hibiya-kōen
Laforet Museum Harajuku
Amuse Museum
Baseball Hall of Fame &amp; Museum
Tokyo Ichiba Project
JCII Camera Museum
Ameya-yokochō
Shinjuku I-Land
Institute for Nature Study
Toto Tokyo Center Showroom
Dōgenzaka
Louis Vuitton Building
Idemitsu Museum of Arts
d47 Museum
Shiodome
Yokoyama Taikan Memorial Hall
Sumo Museum
Beer Museum Yebisu
Tokyo University (Tokyo Daigaku)
Tokyo Wonder Site Hongo
Atago-jinja
Akagi-jinja
Super Dry Hall
Takeshita-dōri
Design Festa
Meiji-jingū Gyoen
Mizuma Art Gallery
National Museum of Modern Art (MOMAT)
Tokyo Keibajō
Spiral Building
National Museum of Western Art
Tokyo Sea Life Park
Fuji TV
Cat Street
Asakura Chōso Museum
Omote-sandō
Tokyo Midtown Design Hub
Taro Okamoto Memorial Museum
Myonichikan
Hanayashiki
Kiyōmizu Kannon-dō
Shibuya Hikarie
Kappabashi-dōri
Kyū Iwasaki-teien
Wadakura Fountain Park
Gundam
Ueno Zoo
Niten-mon
Tokyo Dai-jingū
Parco Factory
