東京スカイツリー
東京タワー
浅草寺
東京都恩賜上野動物園
東京駅 赤レンガ駅舎
明治神宮
靖国神社
東京ドーム
東京都庁舎展望室
三鷹の森ジブリ美術館
皇居
江戸東京博物館
六本木ヒルズ
アメ横
レインボーブリッジ
日比谷公園
ダイバーシティ東京 プラザ
増上寺
羽田空港ターミナル（ビッグバード）
歌舞伎座
日本橋
東京ミッドタウン
すみだ水族館
六義園
井の頭恩賜公園
神田神社(神田明神)
浜離宮恩賜庭園
湯島天満宮
葛西海浜 臨海公園
巣鴨地蔵通り商店街
国立新美術館
代々木公園
根津神社
国会議事堂
エプソン 品川アクアスタジアム
小石川後楽園
忠犬ハチ公像
SL広場
旧古河庭園
向島百花園
赤坂サカス
相田みつを美術館
サンシャイン60
サンシャイン水族館
築地市場
三井アウトレットパーク 多摩南大沢
