鹿苑寺(金閣寺)
京都府立堂本印象美術館
等持院
賀茂別雷神社
石像寺
晴明神社
あかりデザイン工房
狸谷山不動院
慈照寺(銀閣寺)
哲学の道
京都市動物園
南禅寺
下鴨神社
二条城
京都国際マンガミュージアム
錦市場
鴨川
花見小路通
大雲院
建仁寺
八坂神社
産寧坂
清水寺
三十三間堂
京都タワー
京都水族館
おたべ 本館
東映太秦映画村
渡月橋
嵯峨野トロッコ列車
天龍寺
竹林の道
化野念仏寺
愛宕念仏寺
神護寺
伏見稲荷大社
寺田屋
鈴虫寺
西芳寺
萬福寺
平等院
単伝庵
鞍馬寺
貴船の川床
貴船神社
ドゥリムトン村
かやぶきの里
舞鶴赤れんがパーク
日本の鬼の交流博物館
天橋立
伊根の舟屋群
琴引浜
