鬼ケ島大洞窟
金刀比羅宮
瀬戸大橋タワー
NEWレオマワールド
特別名勝 栗林公園
香川県立ミュージアム
オレンジパーク
史跡高松城跡玉藻公園
五色台
プレイパーク ゴールドタワー
寒霞渓
不動の滝
新屋島水族館
道の駅 小豆島オリーブ公園
日本ドルフィンセンター
高松丸亀町商店街
しおのえふじかわ牧場
直島
二十四の瞳映画村
高松駅前広場地下ポート
高松平家物語歴史館
屋島檀ノ浦
四国村
高松市歴史資料館
丸亀城
松下製麺所
中山千枚田
美霞洞渓谷
屋島寺
大窪寺
カワラケ投げ
白鳥どうぶつ園
四谷シモン人形館 淡翁荘
与島
厳魂神社(奥社)
瀬戸大橋記念公園
石段駕籠
城ノ山展望台
琴弾公園
平和の群像
寒霞渓ロープウェイ
掬月亭
男木島
女木島(鬼ケ島)
讃岐宮香川県護国神社
クアタラソさぬき津田
総本山 善通寺
がもううどん
うどん亭 しあわせさん
トレスタ白山スポーツセンター
鞘橋
旭社
轟の滝
柏原渓谷
ストーンミュージアム
直島ふるさと海の家 つつじ荘
中央公園
大串自然公園
とらまるパペットランド
高松市鬼ケ島おにの館
有明浜
高松市美術館
オーテ
御本宮
St.ANGELINA展望台
うちわの港ミュージアム
モアイ像
藤の家食堂
うるし工芸の店嘉吉
道の駅 恋人の聖地うたづ臨海公園
法然寺
塩飽勤番所
香川県立琴平公園
坂出市塩業資料館
塩江温泉郷 行基の湯
本島
れいがん茶屋
フラワーパーク浦島
聖通寺山山頂展望台
銚子渓
鷲ケ峰展望台
萩の丘公園
IKUNAS g
根香寺
海の科学館
琴彈八幡宮
瀬戸大橋記念館
太助灯籠(江戸講中灯籠)
香川県立亀鶴公園
沙弥島
高松市塩江美術館
桃陵公園
中津万象園
フォレスト酒蔵森國ギャラリー
マルキン醤油記念館
楽家おおばやし
天皇寺
蔦島
商工奨励館
さぬき空港公園
