松島
蔵王ハートランド
日和山公園
仙台城址(青葉城址)
鳴子峡
仙台万華鏡美術館
大理石海岸
潟沼
国営みちのく杜の湖畔公園
マリンピア松島水族館
五大堂
白石城
磊々峡
みちのく伊達政宗歴史館
瑞鳳殿
伊達の牛たん本舗 本店
仙台ハイランド
秋保リゾート 森林スポーツ公園
仙台市科学館
化女沼・古代の里
御釜
スポーツランドSUGO
栗駒山
円通院
仙台アンパンマンこどもミュージアム＆モール
武家屋敷
鬼首道路
西方寺(定義如来)
旧有備館及び庭園
宮城県伊豆沼・内沼サンクチュアリセンター
感覚ミュージアム
蔵王エコーライン
竹駒神社
花山湖
三瀧山不動院
南くりこま高原一迫ゆり園
秋保工芸の里
るーぷる仙台
仙台東照宮
ひまわりの丘
壽丸屋敷
鐘崎かまぼこの国 笹かま館
やくらいガーデン
釜処汐のや
細倉マインパーク
仙台市 葛岡温水プール
仙台市天文台
鹽竈神社
味の館 金華楼
ニッカウヰスキー仙台 工場宮城峡蒸溜所
あ・ら・伊達な道の駅
銀の匙
日本こけし館
活魚ニューこのり
鳳鳴四十八滝
二口峡谷
梅月堂菓子本舗
マリンパル女川おさかな市場
エコキャンプみちのく
仙台市八木山動物公園
黄金山神社
勾当台公園
瑞川寺
日本製紙クリネックススタジアム宮城
みなみかた花菖蒲の郷公園
秋保大滝
蔵王ハイライン
ハナトピア岩沼
唐桑半島ビジターセンター・津波体験館
みやぎ蔵王こけし館
七ツ森湖畔公園
新地こけしの里
仙台城跡
七北田公園
マリンゲート塩釜
尿前の関
東北大学植物園
中央〜東栗駒コース(トレッキング)
岩出山城跡・城山公園
唐桑半島
武家屋敷
船岡城址公園
刈田嶺神社
大黒天
台原森林公園
松島四大観
齋理屋敷
村田町歴史みらい館
材木岩
白石城歴史探訪ミュージアム
仙台市博物館
双観山
定義とうふ店
かんけつ泉弁天
松島の紅葉(円通院、天麟院など)
フェザント仙台店
日帰り温泉 都の湯
扇谷
市太郎
加護坊山の千本桜
