貴船神社
嵐山
竹林の小径
東映太秦映画村(映画村)
清水寺
京都タワー
天橋立
出雲大神宮
伏見稲荷大社
東林院(沙羅双樹の寺)
平安神宮
舞鶴赤れんがパーク
天橋立ビューランド
方広寺
元離宮二条城
鞍馬寺
古都京都の文化財(京都、宇治、大津)
京都国立博物館
平等院
三千院門跡(三千院)
桂離宮
仁和寺
京都国際マンガミュージアム
地主神社
建仁寺
東寺(教王護国寺)
みどり農園
大沢池
広沢池
出世稲荷神社
蓮華王院(三十三間堂)
赤れんが博物館
単伝庵(らくがき寺)
実相院
神泉苑
阿弥陀堂(鳳凰堂)
東福寺
晴明神社
安国寺
二條陣屋(小川家住宅)
粟嶋堂 宗徳寺
木の根道
豊国神社
恵美須神社
舞鶴湾めぐり
蹴上インクライン
慈照寺(銀閣寺)
穴太寺
かやぶきの里
禅林寺(永観堂)
大江山
東本願寺
紫雲山頂法寺(六角堂)
傘松公園
観音寺
京都 熊野神社
周山街道
首振り地蔵(善光寺堂)
旧嵯峨御所大覚寺門跡
平等院堤
あらす観光いも掘り農園
西本願寺
京和食 かもめ
保津峡
長安寺
羅城門跡
成相寺
北野天満宮(北野の天神さん)
真正極楽寺(真如堂)
氷室の郷
寂光院
伊根湾めぐり遊覧船
立岩
道祖神社
石清水八幡宮
おもてなしの宿 渓山閣
高台寺
梅小路公園
ガーデンミュージアム比叡
安寿の里もみじ公園
神護寺
大内峠一字観公園
泉涌寺
善法律寺
京都文化博物館
るり渓
寺町通
法観寺(八坂の搭)
すみや亀峰菴
観智院
智恩寺(文殊堂)
エル・マールまいづる
長岡宮跡朝堂院西第四堂跡朝堂院公園
アサヒビール大山崎山荘美術館
流れ橋
舞鶴公園
宇治上神社
錦雲渓
旧三上家住宅
松花堂庭園・美術館
