白川郷・五箇山の合掌造り集落
魚津水族館
魚津の朝市
宮崎・境海岸(ヒスイ海岸)
黒部ダム
瑞龍寺
ミラージュランド
ほたるいかミュージアム
アクアパーク
しんきろうロード・蜃気楼展望地
高岡大仏
称名滝
尾崎かまぼこ館
北前船回船問屋森家
散居村展望台
黒部峡谷
富山市役所展望塔
雨晴海岸
魚津埋没林博物館
石倉町の延命地蔵
稲葉山牧場
お湯掛け薬師
悪城の壁
神通峡
室堂平
城址公園
上日寺のイチョウ
常虹の滝
上日寺
猿飛峡(景雲峡)
やまびこ展望台
光久寺の茶庭
行田公園
五箇山和紙の里
松川磯部堤防遊歩道
富岩運河環水公園
セレネ美術館
有峰湖
国泰寺
八尾曳山展示館
山町筋
呉羽山公園
弥陀ケ原
美女杉
庄川水記念公園
廣貫堂資料館
鮎料理の店 鮎の里
砺波チューリップ公園
行徳寺
富山市ファミリーパーク
名剣温泉
八尾おわら資料館
桜ケ池
黒部ダム展望台
風の城
十二町潟水郷公園
想影展望台
光禅寺
氷見あいやまガーデン
城端別院善徳寺
黒部平庭園
山崎カール
メルヘン建築
なないろKAN
庄川峡
餓鬼田
宇奈月公園
日枝神社
無量寺
富山港展望台
薬種商の館金岡邸
金屋町通り
氷見市海浜植物園(アロマガーデン)
ソーメン滝
潮風通りのモニュメント
錦繍関
そばの館
殉職者慰霊碑
湯谷亭
平和の像
やまびこ遊歩道
富山市科学博物館
村上家
大岩山日石寺
宮島峡
ハンノキ滝
金太郎温泉 カルナの館
人喰岩
庄川ウッドプラザ
県民公園太閤山ランド
旧中嶋家住宅
沢スギ自然館
サンナビキ山
ぬく森の郷
浮田家住宅
大観峰雲上テラス
ミクリガ池（みくりが池）
流刑小屋
ありそドーム(魚津テクノスポーツドーム)
豪農の館内山邸
