デンデラ野
げいび渓舟下り
とうほくニュージーランド村
金色堂
龍泉洞
清水寺
カッパ淵
イギリス海岸
小岩井農場
宮沢賢治童話村
中尊寺
宮沢賢治記念館
厳美渓
未来都市銀河地球鉄道壁画
宮沢賢治イーハトーブ館
猊鼻渓
稲荷穴
花巻温泉バラ園
盛岡八幡宮
ポランの広場
釜淵の滝
田瀬湖
サハラガラスパーク
続石
松川渓谷
森のそば屋
馬仙峡
葛根田渓谷
ぎんどろ公園
北山崎展望台
毛越寺
水沢公園
山猫軒 本店
早坂高原
三ツ石神社
小岩井乳業株式会社 小岩井工場
大慈寺
みちのく民俗村
久慈渓流
宮沢賢治詩碑
青龍水
大慈清水
身照寺(身延別院)
奥の正法寺
魚元
郭公屋
歴史公園えさし藤原の郷
小岩井農場 まきば園
高松公園
尾崎半島
安家洞
石割桜
岩手県営屋内温水プール ホットスイム
岩手銀行旧中ノ橋支店
金鶏山
奥州市伝統産業会館キューポラの館
五葉山
御箱崎
黒石寺
橋野高炉跡
そば房かみや
蛇の目本店
紙すき館
奥州宇宙遊学館
成島毘沙門堂
安比高原スキー場
茶臼岳
蛇ケ崎
穴通磯
弁慶堂(愛宕堂)
黒壁ガラス館
北上市立公園 展勝地
牛の博物館
報恩寺
龍泉新洞科学館
盛岡手づくり村
後藤新平旧宅
岩山展望台
げいびレストハウス
八幡平山頂
久慈琥珀博物館
幽玄洞
八幡平山頂駐車場展望所(アスピーテライン沿線)
御所湖川村美術館
小袖海岸
滝沢森林公園野鳥観察の森
松川地熱発電所 松川地熱館
錦秋湖
蔵元レストラン世嬉の一
広田崎
達谷窟毘沙門堂(達谷西光寺)
鵜ノ巣断崖
湯の杜 ホテル志戸平
滝観洞
天台寺
常堅寺
源太岩展望所
桜地人館
盛岡天満宮
気仙大工左官伝承館
