サンメッセ日南
高千穂峡
鵜戸神宮
願いが叶うクルスの海
青島本島
花の駅 生駒高原
綾の照葉大吊橋
飫肥城跡
青島神社
日向岬
パティスリーオシカワ
宮崎神宮
宮崎市フェニックス自然動物園
海鮮料理処 日南水産
馬ケ背
県立平和台公園
宮崎県庁
えびの高原
猪崎鼻公園
国見ケ丘
のじりこぴあ
関之尾滝 甌穴群
堀切峠
みやざき臨海公園
都井岬
大御神社
フローランテ宮崎
ゲシュマック
韓国岳
みやざきアートセンター
宮崎県立青島亜熱帯植物園
本部はにわ製作所
鶴富屋敷
都農ワイナリー
旧山本猪平家
民家園
足湯の駅えびの高原
宮崎科学技術館
蔵元 綾 酒泉の杜
鹿川渓谷
行縢の滝
コスモス牧場
橘公園
天真名井
日向神話館
綾城
宮崎県立美術館
西都原古墳群
南郷温泉山霧
こどものくに
早水公園
あすなろ温泉
生駒高原りんご園
日向岬グリーンパーク
御池
マリンビューワーなんごう
宮崎県立西都原考古博物館
土々呂港
恵の湯 神の郷温泉
池めぐり自然探勝路
見立渓谷
国富町法華嶽公園
白鳥温泉上湯
霧島ファクトリーガーデン
湯之元温泉
日向国分寺跡
幸島
延岡植物園
新富町温泉健康センターサン・ルピナス
天安河原
出の山公園
江田神社
綾・国際クラフトの城
小林市出の山淡水魚水族館
有田牧畜産業 EMO牛直売所
木城温泉館湯らら
大斗の滝
えびのエコミュージアムセンター
都井岬ビジターセンターうまの館
慶みん本店
榎原神社
クラフトコーナー
西都原ガイダンスセンター このはな館
菓子工房・プチシュー
祝吉御所跡
種田果樹園(生駒園)
都農ファームカフェ
石波浜
ひえつきの里キャンプ場
小さなレストラン 食アトリエ 山太郎
大手門
えぷろん亭
高岡の月知梅
アート・アマネ桜の杜美術館
黒田の家臣
京町観光ホテル
四半的射場
椎葉厳島神社
松尾の丸
若山牧水記念文学館
