城山
仙巌園(磯庭園)
マンゴーの森・パッションフルーツの森
知覧武家屋敷庭園群
桜島
西郷洞窟
長崎鼻パーキングガーデン
霧島神宮
フラワーパークかごしま
叫びの肖像(赤水展望広場)
霧島温泉市場
川内戦国村
高千穂峰
枕崎お魚センター
ホタル館富屋食堂
知覧平和公園
千座の岩屋
西郷隆盛銅像
開聞岳
千尋の滝
磯工芸館
門倉岬
黒潮の森マングローブパーク
池田湖
猿ケ城渓谷 森の駅 たるみず
高千穂河原
鹿児島城(鶴丸城)跡
上場高原
屋久島
大浜海浜公園
黒神埋没鳥居
西郷公園
平川動物公園
霧島神話の里公園
観覧車アミュラン
吹上浜
曽木の滝公園
バレル・バレー プラハ＆GEN
尚古集成館
焼酎蔵 薩摩金山蔵
溶岩なぎさ遊歩道
本場奄美大島紬泥染公園
霧島高原まほろばの里
大川の滝
龍宮神社
焼酎蔵元見学 薩摩郷中蔵 GALLERIA HOMBO
赤水展望広場
佐多岬
桜島シーサイドホテル
薩摩伝承館
長目の浜
知林ケ島
ちかび展示館
黒豚と郷土料理 青葉
かのやばら園
西郷武屋敷跡
カノコユリ自生地
露天風呂「たまて箱温泉」
湯之平展望所
おがみ山公園
魚見岳
知覧型二ツ家民家
益救神社
坊津
半潜水型水中展望船さたでい号
照國神社
かごしま黒豚六八亭
観光SL会館
丸岡公園
白谷雲水峡
沈壽官窯
お食事処・潮騒
奄美の里
山川砂むし温泉 砂湯里
焼肉 れんが屋
鹿児島神宮
奄美観光ハブセンター
出水麓武家屋敷群
あおぞら一丁目 笑和食堂
日本一のガジュマル
長島美術館
高峠つつじケ丘公園
出水市ツル観察センター
枕崎市文化資料センター 南溟館
有村溶岩展望所
だいとく
奄美大島紬村
阿久根大島
原ハブ屋奄美
薩摩酒造花渡川蒸溜所 明治蔵
新川渓谷遊歩道
フーチャ
宝満の池
市場食堂 ぶえんかん
ダグリ岬遊園地
城山公園
太陽の里 温泉センター東泉望
屋久島町歴史民俗資料館
脇本海水浴場
上野農園
